iteracao,score
10130,-4214.637005117203
10140,-4214.637005117203
10150,-4214.637005117203
10160,-4214.637005117203
10170,-4214.637005117203
10180,-4214.637005117203
10190,-4214.637005117203
10200,-4214.637005117203
10210,-4214.637005117203
10220,-4214.637005117203
10230,-4214.637005117203
10240,-4214.637005117203
10250,-4214.637005117203
10260,-4214.637005117203
10270,-4214.637005117203
10280,-4214.637005117203
10290,-4214.637005117203
10300,-4214.637005117203
10310,-4214.637005117203
10320,-4214.637005117203
10330,-4214.637005117203
10340,-4214.637005117203
10350,-4214.637005117203
10360,-4214.637005117203
10370,-4214.637005117203
10380,-4214.637005117203
10390,-4214.637005117203
10400,-4214.637005117203
10410,-4214.637005117203
10420,-4214.637005117203
10430,-4214.637005117203
10440,-4214.637005117203
10450,-4214.637005117203
10460,-4214.637005117203
10470,-4214.637005117203
10480,-4214.637005117203
10490,-4214.637005117203
10500,-4214.637005117203
10510,-4214.637005117203
10520,-4214.637005117203
10530,-4214.637005117203
10540,-4214.637005117203
10550,-4214.637005117203
10560,-4214.637005117203
10570,-4214.637005117203
10580,-4214.637005117203
10590,-4214.637005117203
10600,-4214.637005117203
10610,-4214.637005117203
10620,-4214.637005117203
10630,-4214.637005117203
10640,-4214.637005117203
10650,-4214.637005117203
10660,-4214.637005117203
10670,-4214.637005117203
10680,-4214.637005117203
10690,-4214.637005117203
10700,-4214.637005117203
10710,-4214.637005117203
10720,-4214.637005117203
10730,-4214.637005117203
10740,-4214.637005117203
10750,-4214.637005117203
10760,-4214.637005117203
10770,-4214.637005117203
10780,-4214.637005117203
10790,-4214.637005117203
10800,-4214.637005117203
10810,-4214.637005117203
10820,-4214.637005117203
10830,-4214.637005117203
10840,-4214.637005117203
10850,-4214.637005117203
10860,-4214.637005117203
10870,-4214.637005117203
10880,-4214.637005117203
10890,-4214.637005117203
10900,-4214.637005117203
10910,-4214.637005117203
10920,-4214.637005117203
10930,-4214.637005117203
10940,-4214.637005117203
10950,-4214.637005117203
10960,-4214.637005117203
10970,-4214.637005117203
10980,-4214.637005117203
10990,-4214.637005117203
11000,-4214.637005117203
11010,-4214.637005117203
11020,-4214.637005117203
11030,-4214.637005117203
11040,-4214.637005117203
11050,-4214.637005117203
11060,-4214.637005117203
11070,-4214.637005117203
11080,-4214.637005117203
11090,-4214.637005117203
11100,-4214.637005117203
11110,-4214.637005117203
11120,-4214.637005117203
11130,-4214.637005117203
11140,-4214.637005117203
11150,-4214.637005117203
11160,-4214.637005117203
11170,-4214.637005117203
11180,-4214.637005117203
11190,-4214.637005117203
11200,-4214.637005117203
11210,-4214.637005117203
11220,-4214.637005117203
11230,-4214.637005117203
11240,-4214.637005117203
11250,-4214.637005117203
11260,-4214.637005117203
11270,-4214.637005117203
11280,-4214.637005117203
11290,-4214.637005117203
11300,-4214.637005117203
11310,-4214.637005117203
11320,-4214.637005117203
